name,category,price,quality,reliability,moq,delivery_time,reviews,historical_score
Supplier_1,Grocery,1157,10.0,77,858,12,4.7,47.14
Supplier_2,Laptop,55607,9.9,79,8,4,3.2,45.98
Supplier_3,Toys,4946,6.4,72,78,4,4.5,40.14
Supplier_4,Pets,4908,8.9,73,43,9,4.5,44.21
Supplier_5,Kitchen,7489,9.2,95,17,1,3.2,60.31
Supplier_6,Laptop,141017,7.3,84,4,5,3.5,45.53
Supplier_7,Furniture,29845,6.9,82,3,10,3.3,43.63
Supplier_8,Sports,1648,7.1,76,21,3,4.1,43.67
Supplier_9,Industrial,188800,8.7,74,5,3,3.3,44.16
Supplier_10,Industrial,37796,6.9,94,2,9,3.1,46.75
Supplier_11,Furniture,54771,6.1,96,1,2,3.6,57.96
Supplier_12,Music,15650,6.6,89,3,5,4.9,47.01
Supplier_13,Solar,418272,9.8,96,5,7,3.9,52.67
Supplier_14,Toys,9911,6.1,72,90,12,3.5,33.91
Supplier_15,Grocery,1145,8.5,73,663,2,4.7,46.33
Supplier_16,Kitchen,11792,8.0,76,29,12,4.8,41.66
Supplier_17,Fashion,2375,8.9,98,421,8,4.4,48.02
Supplier_18,Furniture,24959,6.3,74,4,9,4.4,40.21
Supplier_19,Kitchen,16356,7.8,83,8,5,4.7,42.73
Supplier_20,Camera,94506,6.9,80,2,4,3.8,47.59
Supplier_21,Skincare,313,6.3,83,114,7,3.4,39.25
Supplier_22,Fashion,1101,6.7,76,313,14,3.3,36.56
Supplier_23,Furniture,33288,8.3,84,1,3,3.3,54.83
Supplier_24,Appliances,22770,7.6,88,1,2,3.7,57.24
Supplier_25,Fashion,3665,7.4,87,215,1,3.7,54.85
Supplier_26,Skincare,4377,7.9,96,101,7,4.3,47.39
Supplier_27,Solar,111001,6.8,97,1,11,4.7,50.68
Supplier_28,Phone,26256,8.5,96,13,7,4.7,49.36
Supplier_29,Kitchen,18016,9.8,71,6,3,4.9,49.63
Supplier_30,Industrial,105965,8.9,75,3,6,4.0,45.71
Supplier_31,Phone,32265,6.6,87,8,7,4.1,41.48
Supplier_32,Kitchen,2540,9.2,85,24,12,4.1,46.49
Supplier_33,Sports,2687,9.2,100,7,5,3.2,50.45
Supplier_34,Gardening,754,7.7,90,31,14,3.5,42.57
Supplier_35,Music,21495,6.5,92,1,3,4.9,56.68
Supplier_36,Toys,1185,9.2,83,65,2,3.4,50.87
Supplier_37,Camera,20283,6.0,91,2,9,4.5,43.59
Supplier_38,Phone,42538,8.8,74,13,3,4.9,47.95
Supplier_39,Music,38198,9.8,78,4,4,3.6,49.63
Supplier_40,Skincare,4412,8.6,88,50,4,4.4,47.8
Supplier_41,Auto,14897,7.5,90,7,11,4.3,41.98
Supplier_42,Gardening,4314,7.8,74,91,2,3.4,44.9
Supplier_43,Skincare,1449,8.8,84,133,12,3.5,44.12
Supplier_44,Furniture,34215,7.6,84,4,10,3.9,44.81
Supplier_45,Kitchen,15232,6.6,79,22,9,4.7,38.0
Supplier_46,Pets,5208,8.4,72,45,2,3.2,44.14
Supplier_47,Phone,22057,7.0,70,13,4,3.5,39.9
Supplier_48,Pets,3405,9.2,80,40,7,3.5,44.98
Supplier_49,Grocery,1634,6.2,97,400,8,4.2,40.44
Supplier_50,Pets,4667,7.2,90,38,1,3.7,52.78
Supplier_51,Kitchen,19628,6.1,76,29,13,4.1,35.23
Supplier_52,Toys,2282,9.8,95,66,3,3.3,51.59
Supplier_53,Industrial,69963,6.5,89,2,4,4.1,48.99
Supplier_54,Fashion,1311,7.9,80,72,10,4.5,42.63
Supplier_55,Camera,120168,9.4,78,2,8,4.8,51.93
Supplier_56,Sports,6431,8.0,72,46,11,4.8,40.51
Supplier_57,Laptop,90042,7.4,90,8,1,4.3,56.63
Supplier_58,Stationery,486,6.8,90,2039,8,4.2,42.65
Supplier_59,Furniture,52888,6.6,98,3,5,3.6,48.08
Supplier_60,Appliances,88078,8.2,75,3,3,4.8,48.0
Supplier_61,Appliances,70532,8.4,76,3,4,3.1,44.93
Supplier_62,Camera,82822,7.2,78,2,13,4.5,45.38
Supplier_63,Music,22697,9.1,99,4,1,4.0,62.86
Supplier_64,Skincare,4467,6.5,84,131,11,4.2,37.15
Supplier_65,Phone,31993,8.3,73,6,11,4.4,45.91
Supplier_66,Stationery,190,7.9,70,2704,14,4.6,42.47
Supplier_67,Music,138532,6.7,84,1,7,4.0,48.08
Supplier_68,Camera,98610,8.1,98,2,11,4.9,50.87
Supplier_69,Camera,42860,6.5,74,1,12,3.7,50.31
Supplier_70,Skincare,3045,8.6,97,93,3,4.5,49.23
Supplier_71,Sports,2028,9.7,72,27,3,4.3,48.6
Supplier_72,Music,43902,7.8,91,2,13,4.4,48.29
Supplier_73,Solar,137085,7.7,89,3,4,4.6,47.15
Supplier_74,Music,82050,7.2,79,5,2,3.1,43.51
Supplier_75,Camera,63100,9.6,84,3,4,4.6,51.71
Supplier_76,Kitchen,10858,9.0,78,24,7,4.0,45.42
Supplier_77,Gardening,576,9.7,78,62,6,4.0,47.44
Supplier_78,Sports,12805,6.8,91,50,4,4.7,42.11
Supplier_79,Grocery,464,8.2,99,503,9,3.4,44.92
Supplier_80,Furniture,71809,9.9,78,3,14,4.3,47.17
Supplier_81,Kitchen,14570,8.1,100,21,9,3.2,46.75
